,q,context,distance,target
0,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","
The page provides the exchange rate of 18064 South Korean Won (KRW) to US Dollar (USD), sale and conversion rate. Moreover, we added the list of the most popular conversions for visualization and the history table with exchange rate diagram for 18064 South Korean Won (KRW) to US Dollar (USD) from Saturday, 14/03/2020 till Saturday, 07/03/2020. Latest update of 18064 South Korean Won (KRW) exchange rate.Reversed rate: 
US Dollar (USD) toSouth Korean Won (KRW)
",0.896551724137931,invalid
1,"Understand the depth of Covid-19 crisis in a corporate perspective. I needed to know what actions, decisions or quick measures companies around the globe are taking in order to protect them from a financial crisis. This cover all kinds of industry. Examples include, aviation, hospitality, e-commerce, banks, insurance, healthcare, wellness etc. In the meanwhile, i want to find out how affected the companies are by this outbreak/crisis. Information that would help include, performance ratings, sales, stock price, cancellations rate, IPO halt etc. ",Convert currency 18064 KRW to USD. How much is 18064 South Korean Won to US Dollar?  14.91 US Dollar.,0.6666666666666667,invalid
2,What is webank china? I need to understand the founders of the bank with the amount of stake they own. What is the strategic intent of the bank? why is it established? How much capital the bank has raised till date? What are the company financials? By what percentage has the revenue grown in the last three years? The number of customers they serve and what is the bifurcation of customer segment and the revenue generated from them? what is their technology proposition and what technologies they use?,"
South Korean Won

18064 KRW
=
14.91 USD

US Dollar
",0.5192307692307692,invalid
3,What is mybank china? I need to understand the founders of the bank with the amount of stake they own. What is the strategic intent of the bank? why is it established? How much capital the bank has raised till date? What are the company financials? By what percentage has the revenue grown in the last three years? The number of customers they serve and what is the bifurcation of customer segment and the revenue generated from them? what is their technology proposition and what technologies they use?,"
        ?18064.00 = $14.91    ",0.6129032258064516,invalid
4,nan,"

        Inverse: 18064.00 USD = 21889955.20 KRW
Selling 18064.00 KRW you get 14.91 USD    
",0.6559139784946236,invalid
5,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","
The page provides the exchange rate of 18064 South Korean Won (KRW) to US Dollar (USD), sale and conversion rate. Moreover, we added the list of the most popular conversions for visualization and the history table with exchange rate diagram for 18064 South Korean Won (KRW) to US Dollar (USD) from Saturday, 14/03/2020 till Saturday, 07/03/2020. Latest update of 18064 South Korean Won (KRW) exchange rate.Reversed rate: 
US Dollar (USD) toSouth Korean Won (KRW)
",0.896551724137931,invalid
6,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Convert currency 18064 KRW to USD. How much is 18064 South Korean Won to US Dollar?  14.91 US Dollar.,0.6666666666666667,invalid
7,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","
South Korean Won

18064 KRW
=
14.91 USD

US Dollar
",0.5192307692307692,invalid
8,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","
        ?18064.00 = $14.91    ",0.6129032258064516,invalid
9,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","

        Inverse: 18064.00 USD = 21889955.20 KRW
Selling 18064.00 KRW you get 14.91 USD    
",0.6559139784946236,invalid
